Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total_x,Banda ancha fija,Dial up,Total_y
2022,1,San Juan,11.09,43.55,11.99,260,2269,32356,11914,25144,2088,11916,2465,88178,87888,290.0,88178
2022,1,San Luis,23.1,80.72,20.95,610,6430,8287,3837,9802,68612,13,28589,119844,119659,185.0,119844
2022,1,Santa Cruz,12.89,43.34,10.89,510,6898,12710,11502,12277,2628,2551,4850,49102,48898,204.0,49102
2022,1,Santa Fe,24.31,77.3,38.89,4680,12435,143796,208361,84787,58018,344170,18444,870479,870364,115.0,870479
2022,1,Santiago Del Estero,11.71,47.17,14.5,1780,1401,30220,6117,13542,8490,8309,7920,116461,116459,2.0,116461
2022,1,Tierra Del Fuego,29.14,98.29,10.73,240,8940,12849,1564,18034,1767,982,2421,52611,52298,313.0,52611
2022,1,Tucumán,14.22,57.39,47.24,390,2212,36028,46961,21014,5211,133846,2730,245584,245554,30.0,245584
2021,4,Buenos Aires,25.36,75.66,60.21,37821,11026,352950,331292,297296,196021,3259793,22958,4509157,4502772,6.385,4509157
2021,4,Capital Federal,45.85,111.27,82.95,5630,1695,47133,81899,66135,66755,1147939,0,1412119,1409935,2.184,1412119
2021,4,Catamarca,14.05,55.25,46.38,710,0,6038,7855,9804,3262,29827,2233,59090,59089,1.0,59090
2021,4,Chaco,11.77,44.05,42.34,4610,1120,18845,22678,21937,13692,58435,7585,143745,143740,5.0,143745
2021,4,Chubut,25.31,82.57,9.08,1260,1294,63698,39568,31175,578,2904,15763,160308,159364,944.0,160308
2021,4,Córdoba,25.87,84.51,46.36,1000,2479,184548,130892,76246,41198,538700,12607,986770,986693,77.0,986770
2021,4,Corrientes,11.98,45.51,35.77,670,6450,28830,26368,22922,10087,39911,7082,135912,135908,4.0,135912
2021,4,Entre Ríos,18.88,63.16,33.32,1070,3024,56043,49636,38295,24068,77290,16583,265046,265024,22.0,265046
2021,4,Formosa,8.77,34.45,28.76,840,0,22908,6983,6811,1135,13775,1967,53663,53663,0.0,53663
2021,4,Jujuy,14.56,56.92,27.14,580,1750,22446,16793,38134,5640,33421,2324,113915,113915,0.0,113915
2021,4,La Pampa,29.51,89.57,13.85,3010,4930,64840,9082,12259,4821,12184,3027,107007,106834,173.0,107007
2021,4,La Rioja,20.74,77.92,39.7,180,10,5018,5437,23559,5671,43424,0,83128,83124,4.0,83128
2021,4,Mendoza,13.26,47.51,22.23,1560,1463,66428,30308,75214,18621,75031,3660,267587,266783,804.0,267587
2021,4,Misiones,13.36,49.06,38.9,510,50,41916,23554,26721,15954,54596,8335,171132,171132,0.0,171132
2021,4,Neuquén,21.82,73.3,40.09,1400,9400,42313,13264,10515,331,69217,7767,147466,146989,477.0,147466
2021,4,Río Negro,20.21,65.69,27.2,1560,1174,38373,19878,31255,413,36142,22645,153753,153189,564.0,153753
2021,4,Salta,13.76,56.81,33.94,1140,200,40673,69324,6642,3535,72622,6475,199405,199399,6.0,199405
2021,4,San Juan,10.08,39.59,11.05,440,1442,28906,10955,23978,3980,9800,4435,79958,79667,291.0,79958
2021,4,San Luis,22.98,80.3,20.91,620,2640,8550,4276,9107,67363,9,29218,118849,118662,187.0,118849
2021,4,Santa Cruz,12.81,43.05,8.99,520,2970,20305,11641,13054,177,876,4910,48486,48276,210.0,48486
2021,4,Santa Fe,24.24,77.09,36.02,4670,5810,169706,206856,8569,62349,322015,18777,866441,866265,176.0,866441
2021,4,Santiago Del Estero,11.68,47.05,13.84,1780,9090,31915,61524,12205,8000,7537,7930,115861,115859,2.0,115861
2021,4,Tierra Del Fuego,29.17,98.4,10.7,260,3850,13505,16534,16562,1748,1017,258,52357,52042,315.0,52357
2021,4,Tucumán,13.85,55.93,45.15,390,970,37321,48736,21023,5326,125857,2400,238639,238609,30.0,238639
2021,3,Buenos Aires,23.97,71.68,56.26,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609,4246425,5.184,4251609
