Provincia,Partido,Localidad,Link Indec,ADSL,Cablemodem,Dail Up,Fibra Optica,Otros1,Satelital,Wimax,Wireless,Total general,Otros,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps
Buenos Aires,Villarino,Teniente Origone,6875080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,,0.0,0.0,159.0,11.0,4.0,0.0,0.0
Buenos Aires,Villarino,Country Los Medanos,6875025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,267.0,,0.0,0.0,0.0,267.0,0.0,0.0,0.0
Buenos Aires,Zárate,Lima,6882040,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Buenos Aires,Zárate,Zárate,6882050,845.0,27399.0,0.0,1003.0,700.0,5.0,0.0,1525.0,31477.0,705.0,5.0,50.0,444.0,680.0,4235.0,1516.0,24365.0
Buenos Aires,AMBA,OTROS,Sin Datos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,,,,,,,,
Caba,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,58700.0,1198835.0,2050.0,182520.0,27703.0,67.0,0.0,4492.0,1474367.0,0.0,516.0,4544.0,19550.0,54942.0,29377.0,63433.0,1302005.0
Catamarca,Ambato,El Bolsón,10007030,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Catamarca,Ambato,El Rodeo,10007040,0.0,0.0,0.0,0.0,0.0,1.0,0.0,152.0,153.0,47.0,1.0,5.0,100.0,0.0,0.0,0.0,0.0
Catamarca,Ambato,La Puerta,10007060,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Catamarca,Ambato,Las Chacritas,10007070,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
